"sku","produto_id","motivo","evidencia"
"VTK025520","2f42cd0b-afcc-4ccd-8997-78a141b88325","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK000216","2fcc2093-ddde-4e63-b944-90a4ab2d2454","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6d/VTK000216/summary.json"
"VTK021013","31849a0c-4eed-49f0-8709-e4db46d8bf53","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IDENTITY:ml-p0-phase6a/VTK021013/summary.json"
"VTK026003","31d60509-a4dc-42af-a79b-68142502ad44","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6a/VTK026003/summary.json"
"VTK025908","339aac0e-e31a-45b1-a0ab-60a4fd616807","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK018134","35803dad-4127-4945-8abc-f3b26978f7d8","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK018134/summary.json"
"VTK005426","36394ab4-0d3d-48ce-9646-e22896315eb3","EXCLUDED_BY_HISTORICAL_LEDGER","MANUAL_TECH:ml-p0-phase3/full-report.json"
"VTK025549","3739630d-1cbe-4198-9fca-924f265c5c4b","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025407","3819cd2f-0f69-46da-ba8e-f32664985cbe","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK019016","3976c413-68d3-4285-af05-5343e8998473","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK019016/summary.json"
"VTK004724","3cd63a03-f703-4590-9acc-4a6e017a1d6a","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK004724/summary.json"
"VTK025550","3f53d0fa-3051-482c-9fa8-e66eb0fe558b","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025957","3f96f704-c8a1-4733-a218-235f12a0fca4","EXCLUDED_BY_HISTORICAL_LEDGER","SOURCE_DEFERRED:ml-p0-phase3/full-report.json"
"VTK025575","3fce93e4-27b1-4794-9885-315235c7dbfc","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK012223","412b5e03-8d41-4a0a-81b7-fd20fa0dd2cd","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN_UNIT_CONFLICT:ml-p0-phase6d/VTK012223/summary.json"
"VTK021891","431432a6-be35-4b99-aebf-b4a207037c0b","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6d/VTK021891/summary.json"
"VTK000429","451a9307-b2d5-4b11-9036-313c33a92b2a","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE:ml-p0-phase6c/VTK000429/summary.json"
"VTK025651","451ad3fd-8613-4e27-8f37-0693d16688da","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK021063","476bee08-d8ea-43db-bc1f-b07e4d59756a","REMOTE_LINK_REVIEW","{""sku"":""VTK021063"",""state"":""BLOCK_DUPLICATE"",""source"":""phase3"",""item_ids"":[""MLB6563332484"",""MLB6646642718""]}"
"VTK025587","47818129-2eb0-4e4b-b23b-d0fff2342ee8","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025771","4893fb39-2110-4f90-a680-d1fd7b2262a1","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK000533","48b26ccf-bce7-4bef-b447-ae46449f4ff4","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK000533/summary.json"
"VTK002521","4a5919a1-7059-4274-8fd1-3b9c5ce927cf","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE:ml-p0-phase6d/VTK002521/summary.json"
"VTK016240","4ab2d60a-a1d1-48fe-a6fc-8e9d557f08e7","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK018199","4e6f2b8c-85c5-4392-bbe5-7c9ca2482a60","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATEGORY:ml-p0-phase6d/VTK018199/summary.json"
"VTK025419","4ecd9321-755e-4f1b-a3a7-f591fd143d4d","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK001834","5030549b-3fd3-46bd-9b39-842035e26ad8","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_REQUIRED_ATTRIBUTE_EVIDENCE:ml-p0-phase6d/VTK001834/summary.json"
"VTK025403","531c6601-ff5b-4820-a4a7-bb1906fa0166","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025601","5672f2f1-878f-4098-bb4e-e015608f2a69","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK000540","58b46fa0-9db3-4758-98c8-455c3e5ecbbd","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6c/VTK000540/summary.json"
"VTK002141","59dec284-bd0d-4f8c-a419-ce305f589e19","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN:ml-p0-phase6a/VTK002141/summary.json"
"VTK017211","59eda7a6-d2a4-4553-9d25-6383cfa1c027","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_CATALOG_IDENTITY:ml-p0-phase6a/VTK017211/summary.json"
"VTK025521","5aa9d2fd-a9cd-4e8b-9db3-2525ec22ff63","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK001039","5d78c1f7-39c4-43ca-b250-c69bb037d4ce","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001039/summary.json"
"VTK001137","5dd76647-9206-47be-b8f8-bd739f3887d2","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_IMAGE:ml-p0-phase6d/VTK001137/summary.json"
"VTK025932","5ef37ef0-f02b-4d7c-8c52-5a72abead051","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK025500","5f7b3831-b8ba-4fe8-801b-61590c5e2d88","EXCLUDED_NO_ACTIVE_PREFERRED_OFFER",""
"VTK001336","5fb0587d-bb1f-4c4f-b2a3-b3c346b17bb5","EXCLUDED_BY_HISTORICAL_LEDGER","BLOCK_GTIN_UNIT_CONFLICT:ml-p0-phase6d/VTK001336/summary.json"
