sku,pricing_group_id,origin_ml_item_id,ml_item_ids,current_price,experimental_price,sync_confirmed
VTK017708,VTK017708|MLB32224655,MLB4981311917,"[""MLB4981311917"",""MLB4986120857""]",56.64,37.99,true
VTK022016,VTK022016|MLB38302545,MLB4981312713,"[""MLB4981312713"",""MLB7320340216""]",59.28,38.88,true
VTK012478,VTK012478|MLB28360869,MLB4857623631,"[""MLB4880591999"",""MLB4857623631""]",61.23,42.13,true
VTK012476,VTK012476|MLB57293772,MLB7111713078,"[""MLB4880561195"",""MLB7111713078""]",61.74,43.09,true
VTK000054,VTK000054|MLB54675306,MLB5050065065,"[""MLB5050065065"",""MLB7437026210""]",60.58,40.85,true
VTK012402,VTK012402|MLB63263826,MLB4857623495,"[""MLB7149339258"",""MLB4857623495""]",63.13,44.56,true
VTK004830,VTK004830|MLB74554980,MLB4857623581,"[""MLB4857623581"",""MLB7524753486""]",63.27,44.71,true
VTK001490,VTK001490|MLB22319205,MLB4857635453,"[""MLB7149372564"",""MLB4857635453""]",61.83,44.87,true
VTK017576,VTK017576|MLB54493374,MLB7239016738,"[""MLB7314820636"",""MLB7239016738""]",65.06,46.21,true
VTK001628,VTK001628|MLB21618565,MLB4981289011,"[""MLB7317389682"",""MLB4981289011""]",61.9,41.91,true
VTK018376,VTK018376|MLB27679084,MLB7285954282,"[""MLB4971945165"",""MLB7285954282""]",67.59,48.56,true
VTK012076,VTK012076|MLB19605921,MLB7111710088,"[""MLB7111710088"",""MLB4880579793""]",67.35,47.02,true
VTK018063,VTK018063|MLB36263019,MLB7238972410,"[""MLB4942182601"",""MLB7238972410""]",66.55,47.94,true
VTK017224,VTK017224|MLB65281622,MLB7239023028,"[""MLB5034096127"",""MLB7239023028""]",64.62,46.66,true
VTK002207,VTK002207|MLB23218281,MLB7111710058,"[""MLB4880579833"",""MLB7111710058""]",68.6,50.55,true
VTK012309,VTK012309|MLB19546567,MLB7111649116,"[""MLB7111649116"",""MLB7149333170""]",65.43,46.31,true
VTK001438,VTK001438|MLB21441961,MLB4857635177,"[""MLB4882855471"",""MLB4857635177""]",67.96,51.02,true
VTK012529,VTK012529|MLB44377216,MLB4857622071,"[""MLB4880632409"",""MLB4857622071""]",70.44,53.02,true
VTK012548,VTK012548|MLB39188360,MLB7111710862,"[""MLB4880579543"",""MLB7111710862""]",70.44,53.02,true
VTK012810,VTK012810|MLB44380576,MLB4857634579,"[""MLB4857634579"",""MLB4880591321""]",71.74,54.5,true
VTK000019,VTK000019|MLB66334588,MLB7111664762,"[""MLB4880581499"",""MLB7111664762""]",67.28,51.15,true
VTK012115,VTK012115|MLB26003341,MLB4857621823,"[""MLB4857621823"",""MLB7330115638""]",67.37,50.68,true
VTK012098,VTK012098|MLB66065494,MLB7111710226,"[""MLB7111710226"",""MLB7316881074""]",67.44,50.77,true
VTK017592,VTK017592|MLB34493962,MLB4966000715,"[""MLB4966000715"",""MLB4971984035""]",64.31,47.95,true
VTK017162,VTK017162|MLB22546817,MLB4937549367,"[""MLB4942205527"",""MLB4937549367""]",70.7,52.5,true
