sku,pricing_group_id,product_id,product_name,ml_item_ids,origin_ml_item_id,title,current_price,current_profit,current_margin_pct,experimental_price,experimental_profit,experimental_margin_pct,target_margin_pct,supplier_cost,fee_amount,shipping_amount,tax_rate,visits_30d,visits_90d,visits_150d,sales_30d,sales_90d,sales_150d,stock,price_to_win,catalog_synchronized_pair,sync_confirmed
VTK004830,VTK004830|MLB74554980,4a56bc90-7de8-4e04-9c22-09cea1d70f50,Chave Gangorra Com Led 4 Terminais Vermelha KCD2 Storm - PCT / 10,"[""MLB4857623581"",""MLB7524753486""]",MLB4857623581,Chave Gangorra Com Led 4 Terminais Vermelha Kcd2 Storm,63.27,17.93,28.3371,44.71,3.13,7.0071,7.000000000000001,19.56,5.37,12.95,0.082799,0,1,1,0,0,0,6,24.71,true,true
VTK012480,VTK012480|MLB4857623523,d88ff579-3e9a-4b02-8a35-eef54f78c34b,Botão On Off 19mm Prata 220v 3a C/ Led Verde 12v Storm,"[""MLB4857623523""]",MLB4857623523,Botão On Off 19mm Prata 220v 3a C/ Led Verde 12v Storm,63.27,17.93,28.3371,44.71,3.13,7.0071,7.000000000000001,19.56,5.37,12.95,0.082799,1,1,1,0,0,0,3,0,false,true
VTK012575,VTK012575|MLB7111712262,386ef160-a766-4d66-a625-2bbf086f33f5,Botão On Off 19mm Prata 220v 3a C/ Led Vermelho 12v Storm,"[""MLB7111712262""]",MLB7111712262,Botão On Off 19mm Prata 220v 3a C/ Led Vermelho 12v Storm,63.27,17.93,28.3371,44.71,3.13,7.0071,7.000000000000001,19.56,5.37,12.95,0.082799,1,1,1,0,0,0,6,0,false,true
VTK017267,VTK017267|MLB4981460951,94af03bd-25f4-44ad-9d6e-86f57700f57d,Controle Remoto Ar Condicionado Elgin Ecoplus Mxt,"[""MLB4981460951""]",MLB4981460951,Controle Remoto Ar Condicionado Elgin Ecoplus Mxt,59.81,16.84,28.1528,41.4,2.9,7.0003,7.000000000000001,15.5,6.62,12.95,0.082799,2,3,3,0,0,0,50,0,false,true
VTK001640,VTK001640|MLB7111712174,78a7fa90-6094-4f62-99e8-5f85aded5977,Conector F Para Cabo RGC06 de Rosquear Genérico - CEM / 100,"[""MLB7111712174""]",MLB7111712174,Conector F Para Cabo Rgc06 De Rosquear Genérico - Cem / 100,64.36,17.89,27.7934,45.96,3.22,7.0047,7.000000000000001,20.47,5.52,12.95,0.082799,0,1,1,0,0,0,7,0,false,true
VTK017269,VTK017269|MLB7331728308,48134022-57a4-406a-82a2-f51ae1f154dc,Protetor Emenda óptica Tubete 60mm Pacote Com 100 Unidades,"[""MLB7331728308""]",MLB7331728308,Protetor Emenda Óptica Tubete 60mm Pacote Com 100 Unidades,60.69,16.8,27.6834,42.29,2.96,7.0007,7.000000000000001,15.9,6.98,12.95,0.082799,0,0,0,0,0,0,50,0,false,true
VTK003173,VTK003173|MLB4857623663,c0c8220b-dbec-4b25-8954-e2c2ffc8c330,Plug P10 Mono Metal com Mola Niquelado PGPZ0004 Storm - PCT / 10,"[""MLB4857623663""]",MLB4857623663,Plug P10 Mono Metal Com Mola Niquelado Pgpz0004 Storm,64.96,17.87,27.504,46.39,3.25,7.0021,7.000000000000001,19.42,6.03,13.85,0.082799,0,0,0,0,0,0,17,0,false,true
VTK017173,VTK017173|MLB4966054577,5a4b4c6f-1ac7-4521-a079-9e94cc7cda5c,Fonte Chaveada Para Cftv 9v 500ma Com Led,"[""MLB4966054577""]",MLB4966054577,Fonte Chaveada Para Cftv 9v 500ma Com Led,59.17,16.27,27.4974,41,2.88,7.0128,7.000000000000001,12.9,7.38,14.45,0.082799,3,4,4,0,0,0,50,0,false,true
VTK005703,VTK005703|MLB4857635847,117d87f9-f143-4970-8b7e-da2e94dc0360,Chave Anti Vandalismo On/Off Prata Storm,"[""MLB4857635847""]",MLB4857635847,Chave Anti Vandalismo On/off Prata Storm,65.07,17.86,27.4533,46.77,3.28,7.0025,7.000000000000001,19.56,5.61,14.45,0.082799,0,0,0,0,0,0,5,0,false,true
VTK012044,VTK012044|MLB7111711972,04dc5c94-db61-493c-bf07-b8aac56ae61d,Pilha Alcalina Tipo D Elgin - Cartela Com 02 Unidades,"[""MLB7111711972""]",MLB7111711972,Pilha Alcalina Tipo D Elgin - Cartela Com 02 Unidades,61.43,16.77,27.3026,42.46,2.98,7.0112,7.000000000000001,14.95,8.07,12.95,0.082799,0,1,1,0,0,0,12,23.99,false,true
VTK001490,VTK001490|MLB22319205,de801732-5c70-4a9c-8261-a08e6ffbc33f,Encordoamento Para Violão Aço .010 Giannini GESWAM Acústico Bronze 65/35,"[""MLB7149372564"",""MLB4857635453""]",MLB4857635453,Jogo De Cordas P/ Violão Giannini Acústico Aço 010 Bronze,61.83,16.75,27.0906,44.87,3.14,7.0086,7.000000000000001,19.9,5.16,12.95,0.082799,0,0,0,0,0,0,50,22.22,true,true
VTK017576,VTK017576|MLB54493374,66334528-bebb-48e7-9330-c329c57ed13c,Controle Remoto MXT 01315 York GZ-12A-E1 GZ-12B-E1,"[""MLB7314820636"",""MLB7239016738""]",MLB7239016738,Controle Remoto Ar Condicionado Mxt 01315 York Gz-12a-e1 Branco,65.06,17.51,26.919,46.21,3.24,7.012,7.000000000000001,17.9,7.39,13.85,0.082799,2,2,2,0,0,0,40,36.59,true,true
VTK001621,VTK001621|MLB7111712014,3ce4f2e9-d1b9-42d4-89e7-780c0573b96a,"Cabo P2 estéreo + P2 estéreo Niquelado 1,8MT Preto Genérico - PCT / 10","[""MLB7111712014""]",MLB7111712014,"Cabo P2 Estéreo + P2 Estéreo Niquelado 1,8mt Preto Genérico",66.26,17.83,26.9091,47.87,3.35,7.005,7.000000000000001,21.38,6.22,12.95,0.082799,0,0,0,0,0,0,9,0,false,true
VTK001628,VTK001628|MLB21618565,4f770396-e999-4662-a519-4aed2cc0170c,Encordoamento Para Violão Nylon Médio Série Canário Giannini GENW,"[""MLB7317389682"",""MLB4981289011""]",MLB4981289011,Jogo De Corda Violão - Giannini Canário - Náilon Sem Bolinha,61.9,17.97,29.0327,41.91,2.93,7.0025,7.000000000000001,14.74,6.92,13.85,0.082799,0,0,0,0,0,0,100,14.85,true,true
VTK002101,VTK002101|MLB4857623367,0065feab-7735-45e6-9e19-e6c01074cee7,Conector Speakon Fêmea 4 Pólos Painel JCSP0002 Preto STORM - PCT / 10,"[""MLB4857623367""]",MLB4857623367,Conector Speakon Fêmea 4 Pólos Painel Jcsp0002 Preto Storm Preto,66.56,17.82,26.767,48.22,3.38,7.0071,7.000000000000001,20.73,6.27,13.85,0.082799,1,4,4,0,0,0,14,0,false,true
